"Time (s) Run #1";"Period (s) Run #1";"Time (s) Run #2";"Period (s) Run #2";"Time (s) Run #3";"Period (s) Run #3";"Time (s) Run #4";"Period (s) Run #4";"Time (s) Run #5";"Period (s) Run #5"
218,660;1,4967;219,104;1,4982;219,277;1,4988;219,922;1,4998;220,156;1,5023
220,157;1,4968;220,603;1,4982;220,775;1,4987;221,422;1,4998;221,658;1,5022
221,654;1,4967;222,101;1,4982;222,274;1,4987;222,922;1,4998;223,160;1,5022
223,150;1,4967;223,599;1,4984;223,773;1,4988;224,421;1,4998;224,663;1,5022
224,647;1,4967;225,098;1,4983;225,272;1,4986;225,921;1,4998;226,165;1,5022
226,144;1,4966;226,596;1,4983;226,770;1,4988;227,421;1,4998;227,667;1,5022
227,640;1,4968;228,094;1,4983;228,269;1,4987;228,921;1,4998;229,169;1,5022
229,137;1,4965;229,592;1,4983;229,768;1,4988;230,421;1,4998;230,671;1,5021
230,634;1,4968;231,091;1,4982;231,267;1,4987;231,920;1,4998;232,173;1,5021
232,130;1,4967;232,589;1,4983;232,765;1,4987;233,420;1,4998;233,675;1,5021
233,627;1,4968;234,087;1,4983;234,264;1,4987;234,920;1,4997;235,177;1,5020
235,124;1,4965;235,586;1,4983;235,763;1,4987;236,420;1,4997;236,679;1,5020
236,620;1,4966;237,084;1,4982;237,262;1,4987;237,919;1,4997;238,181;1,5020
238,116;1,4962;238,582;1,4983;238,760;1,4987;239,419;1,4997;239,683;1,5020
239,613;1,4971;240,080;1,4983;240,259;1,4987;240,919;1,4997;241,185;1,5020
241,110;1,4968;241,579;1,4982;241,758;1,4987;242,418;1,4997;242,687;1,5019
242,607;1,4964;243,077;1,4983;243,256;1,4987;243,918;1,4997;244,189;1,5019
244,103;1,4967;244,575;1,4983;244,755;1,4986;245,418;1,4997;245,691;1,5019
245,600;1,4964;246,073;1,4983;246,254;1,4988;246,917;1,4996;247,193;1,5019
247,096;1,4966;247,572;1,4982;247,752;1,4987;248,417;1,4996;248,695;1,5018
248,593;1,4964;249,070;1,4983;249,251;1,4987;249,917;1,4996;250,197;1,5018
250,090;1,4967;250,568;1,4983;250,750;1,4987;251,416;1,4996;251,698;1,5018
251,586;1,4963;252,066;1,4983;252,248;1,4986;252,916;1,4996;253,200;1,5018
253,082;1,4965;253,565;1,4985;253,747;1,4987;254,415;1,4996;254,702;1,5017
254,579;1,4965;255,063;1,4983;255,246;1,4987;255,915;1,4996;;
256,075;1,4964;256,562;1,4983;256,744;1,4987;257,414;1,4995;;
